index,EventID,Timestamp,TargetUserName,ServiceName,IpAddress
0,4769,2024-03-19 23:08:07.978025,DC$@CSECLAB.TEST,DC$,::1
1,4769,2024-03-19 23:08:09.023266,DC$@CSECLAB.TEST,DC$,::1
2,4769,2024-03-19 23:08:09.023649,DC$@CSECLAB.TEST,krbtgt,::1
3,4769,2024-03-19 23:08:09.274817,DC$@CSECLAB.TEST,DC$,::1
4,4769,2024-03-19 23:08:09.414671,DC$@CSECLAB.TEST,DC$,::1
5,4769,2024-03-19 23:08:10.449360,DC$@CSECLAB.TEST,DC$,::1
6,4769,2024-03-19 23:08:10.542078,DC$@CSECLAB.TEST,DC$,::1
7,4769,2024-03-19 23:10:00.870018,DC$@CSECLAB.TEST,DC$,::1
8,4769,2024-03-19 23:10:02.032099,azradmin@CSECLAB.TEST,DC$,::1
9,4769,2024-03-19 23:10:06.966270,DC$@CSECLAB.TEST,DC$,::1
10,4769,2024-03-19 23:10:07.034121,DC$@CSECLAB.TEST,DC$,::1
11,4769,2024-03-19 23:10:07.835075,DC$@CSECLAB.TEST,DC$,::1
12,4769,2024-03-19 23:10:07.895607,DC$@CSECLAB.TEST,DC$,::1
13,4769,2024-03-19 23:10:11.097994,DC$@CSECLAB.TEST,DC$,::1
14,4769,2024-03-19 23:17:26.783773,DC$@CSECLAB.TEST,DC$,::1
15,4769,2024-03-19 23:25:07.342644,DC$@CSECLAB.TEST,DC$,::1
16,4769,2024-03-19 23:25:40.358732,azradmin@CSECLAB.TEST,DC$,::ffff:10.0.0.5
17,4769,2024-03-19 23:25:40.364525,azradmin@CSECLAB.TEST,krbtgt,::ffff:10.0.0.5
18,4769,2024-03-19 23:25:40.406492,azradmin@CSECLAB.TEST,DC$,::ffff:10.0.0.5
19,4769,2024-03-19 23:25:41.423170,WIN10$@CSECLAB.TEST,DC$,::ffff:10.0.0.5
20,4769,2024-03-19 23:25:41.424980,WIN10$@CSECLAB.TEST,krbtgt,::ffff:10.0.0.5
21,4769,2024-03-19 23:25:41.651217,WIN10$@CSECLAB.TEST,DC$,::ffff:10.0.0.5
22,4769,2024-03-19 23:25:41.663315,WIN10$@CSECLAB.TEST,DC$,::ffff:10.0.0.5
23,4769,2024-03-19 23:25:46.495268,WIN10$@CSECLAB.TEST,DC$,::ffff:10.0.0.5
24,4769,2024-03-19 23:26:23.569727,WIN10$@CSECLAB.TEST,DC$,::ffff:10.0.0.5
25,4769,2024-03-19 23:26:23.570518,WIN10$@CSECLAB.TEST,DC$,::ffff:10.0.0.5
26,4769,2024-03-19 23:26:23.573164,WIN10$@CSECLAB.TEST,krbtgt,::ffff:10.0.0.5
27,4769,2024-03-19 23:26:23.632935,WIN10$@CSECLAB.TEST,DC$,::ffff:10.0.0.5
28,4769,2024-03-19 23:26:23.633848,WIN10$@CSECLAB.TEST,DC$,::ffff:10.0.0.5
29,4769,2024-03-19 23:26:23.694798,WIN10$@CSECLAB.TEST,DC$,::ffff:10.0.0.5
30,4769,2024-03-19 23:26:25.130415,WIN10$@CSECLAB.TEST,WIN10$,::ffff:10.0.0.5
31,4769,2024-03-19 23:26:26.646515,WIN10$@CSECLAB.TEST,DC$,::ffff:10.0.0.5
32,4769,2024-03-19 23:26:26.648157,WIN10$@CSECLAB.TEST,krbtgt,::ffff:10.0.0.5
33,4769,2024-03-19 23:26:37.166059,WIN10$@CSECLAB.TEST,WIN10$,::ffff:10.0.0.5
34,4769,2024-03-19 23:26:40.994137,WIN10$@CSECLAB.TEST,DC$,::ffff:10.0.0.5
35,4769,2024-03-19 23:27:33.242559,azradmin@CSECLAB.TEST,WIN10$,::ffff:10.0.0.5
36,4769,2024-03-19 23:27:33.374027,azradmin@CSECLAB.TEST,DC$,::ffff:10.0.0.5
37,4769,2024-03-19 23:27:33.495378,azradmin@CSECLAB.TEST,DC$,::ffff:10.0.0.5
38,4769,2024-03-19 23:27:33.497797,azradmin@CSECLAB.TEST,krbtgt,::ffff:10.0.0.5
39,4769,2024-03-19 23:27:37.491186,azradmin@CSECLAB.TEST,DC$,::ffff:10.0.0.5
40,4769,2024-03-19 23:27:37.498436,azradmin@CSECLAB.TEST,DC$,::ffff:10.0.0.5
41,4769,2024-03-19 23:34:49.245674,azradmin@CSECLAB.TEST,DC$,::ffff:10.0.0.6
42,4769,2024-03-19 23:34:49.247416,azradmin@CSECLAB.TEST,krbtgt,::ffff:10.0.0.6
43,4769,2024-03-19 23:34:49.271408,azradmin@CSECLAB.TEST,DC$,::ffff:10.0.0.6
44,4769,2024-03-19 23:34:50.107969,SERVER$@CSECLAB.TEST,DC$,::ffff:10.0.0.6
45,4769,2024-03-19 23:34:50.109268,SERVER$@CSECLAB.TEST,krbtgt,::ffff:10.0.0.6
46,4769,2024-03-19 23:34:50.155539,SERVER$@CSECLAB.TEST,DC$,::ffff:10.0.0.6
47,4769,2024-03-19 23:34:50.272314,SERVER$@CSECLAB.TEST,DC$,::ffff:10.0.0.6
48,4769,2024-03-19 23:34:55.154415,SERVER$@CSECLAB.TEST,DC$,::ffff:10.0.0.6
49,4769,2024-03-19 23:35:18.380550,SERVER$@CSECLAB.TEST,DC$,::ffff:10.0.0.6
50,4769,2024-03-19 23:35:18.381882,SERVER$@CSECLAB.TEST,DC$,::ffff:10.0.0.6
51,4769,2024-03-19 23:35:18.382219,SERVER$@CSECLAB.TEST,krbtgt,::ffff:10.0.0.6
